profile_id,tender_id,עובר_אזור,עובר_זכאות,עובר_חסר_דיור,score_סופי
P004,m1,1.0,1.0,1.0,1.0
P004,m6,1.0,1.0,1.0,1.0
P004,m7,1.0,1.0,1.0,1.0
P004,m8,1.0,1.0,1.0,1.0
P004,m9,1.0,1.0,1.0,1.0
P004,m10,1.0,1.0,1.0,1.0
P006,m63,1.0,1.0,1.0,1.0
P006,m64,1.0,1.0,1.0,1.0
P006,m65,1.0,1.0,1.0,1.0
P006,m66,1.0,1.0,1.0,1.0
P006,m67,1.0,1.0,1.0,1.0
P006,m11,1.0,1.0,0.0,0.0
P006,m12,1.0,1.0,0.0,0.0
P006,m13,1.0,1.0,0.0,0.0
P004,m11,0.0,1.0,1.0,0.0
P001,m56,1.0,0.0,0.0,0.0
P002,m22,1.0,1.0,1.0,1.0
P002,m29,1.0,1.0,1.0,1.0
P002,m21,1.0,0.0,1.0,0.0
P003,m44,0.0,0.0,1.0,0.0
P003,m58,0.0,0.0,0.0,0.0
P005,m41,0.0,0.0,0.0,0.0
P007,m70,1.0,1.0,1.0,1.0
P007,m56,1.0,0.0,1.0,0.0
P008,m1,1.0,1.0,0.0,0.0
P009,,,,,
P010,,,,,
P011,,,,,
P011,,,,,
P011,,,,,
P012,,,,,
P013,,,,,
P014,,,,,
P014,,,,,
P014,,,,,
P015,,,,,
P016,,,,,
P017,,,,,
P017,,,,,
P017,,,,,
P018,,,,,
P018,,,,,
P018,,,,,
P019,,,,,
P019,,,,,
P020,,,,,
